id;background;icon;nama;harga;deskripsi ;star
1;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/November2020/TU6Is0qz7YSGE1QI1f49.png;PaNas Spesial Thai Sweet Chili Sauce;28100;Ayam Goreng khas McDonald's yang gurih dan renyah dibalur dengan saus Thai Sweet Chili yang pedas manis. Disajikan dengan nasi hangat dan telur. Tersedia dalam pilihan Ayam Krispy atau Spicy;5
2;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/fTkXy7ji77MIZZnMAemm.png;Ayam Spicy McDonald's;5200;Ayam goreng khas McDonald's dengan bumbu pedas, rasakan sensasi pedas pada kulit yang renyah hingga daging ayam yang lembut dan gurih. Tersedia dalam pilihan A la Carte, PaNas 1, PaNas 2, Panas 2 with Fries, PaMer 5, PaMer 7;5
3;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/November2020/wFAD5ymhOsO5OFiw42uu.png;PaNas 1 Thai Sweet Chili Sauce;16800;Ayam Goreng khas McDonald's yang gurih dan renyah dibalur dengan saus Thai Sweet Chili yang pedas manis. Tersedia dalam pilihan Ayam Krispy atau Spicy;4
4;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/November2020/KkDITZSulsJgqFyeO7zp.png;PaNas 2 with Fries Thai Sweet Chili Sauce;52999;"Dua potong Ayam Goreng khas McDonald's yang gurih dan renyah dibalur dengan saus Thai Sweet Chili yang pedas manis. Disajikan dengan Kentang Goreng khas McDonald's. Tersedia dalam pilihan Ayam Krispy atau Spicy
";3
5;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/dBkLAEZ7PxkjdgarPMbz.png;PaNas 2 with Fries;36000;2 pcs Ayam Goreng khas McDonald's dengan kentang goreng dan minuman FruitTea lemon yang menyegarkan. Tersedia dalam pilihan Ayam Krispy atau Spicy;2
6;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/September2019/6rqZSErwt3XKk2802YdV.png;Nasi Uduk Komplit McD;23500;Cita rasa lokal ala McDonald's dengan nasi berbumbu, ayam goreng Mcdonald's, telur dan sambal terasi;4
6;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/September2019/h7mSn1k5DVghKMUMyyTT.png;Paket Go Gochujang Chicken McDonald's with Fries;165000;2 pcs Gochujang Chicken McDonald's dengan sensasi ayam ala Korea yang bercita rasa gurih pedas dengan kentang goreng renyah dan minuman FruitTea lemon yang menyegarkan;5
6;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2020/70rczaWB3BmkIb2DiXby.png;Honey Garlic Chicken Rice McD;12500;Nasi hangat dengan topping daging ayam disajikan dengan saus honey garlic;5
