id;background;icon;nama;harga;deskripsi ;star
1;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/October2019/BFcnGCUwrw4CxkxDkahi.png;Fish Fillet Burger;28100;Daging ikan pilihan, dengan saus tartar dan keju istimewa dalam setangkup roti lembut kukus;5
2;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2020/aeXjsnlSHRqBxFdFOLZ0.png;Honey Garlic Fish Rice McD;5200;Nasi hangat dengan topping daging ikan disajikan dengNasi hangat dengan topping daging ikan disajikan dengan saus honey garlican saus honey garlic;5
3;https://i.imgur.com/d9kvguM.png;https://nos.jkt-1.neo.id/mcdonalds/foods/August2019/BsbcEMEILr5T4jlvqoDb.png;"
Rica-rica Fish Rice McD";16800;"Saus rica-rica pedas di atas nasi hangat dan daging ikan yang digoreng sempurna.
";5
